銘柄コード,銘柄名称,商品分類,市場区分,業種,売買単位,東証上場日,東証上場廃止日
130A0,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,株式,グロース,医薬品,100,2024-02-08,
131A0,ＣＣＮグループ,株式,TOKYO PRO Market,情報・通信業,100,2024-02-09,
132A0,アイエヌホールディングス,株式,TOKYO PRO Market,陸運業,100,2024-01-30,
133A0,グローバルＸ　超短期米国債　ＥＴＦ,ETF,その他,nan,1,2024-01-31,
134A0,アプライズ,株式,TOKYO PRO Market,サービス業,100,2024-02-20,
135A0,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,株式,グロース,情報・通信業,100,2024-02-22,
136A0,三興商事,株式,上場廃止,建設業,100,2024-02-26,2026-06-30
137A0,Ｃｏｃｏｌｉｖｅ,株式,グロース,情報・通信業,100,2024-02-28,
138A0,光フードサービス,株式,グロース,小売業,100,2024-02-28,
139A0,東日本地所,株式,TOKYO PRO Market,不動産業,100,2024-02-27,
140A0,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,ETF,その他,nan,1,2024-02-28,
141A0,トライアルホールディングス,株式,グロース,小売業,100,2024-03-21,
142A0,ジンジブ,株式,グロース,サービス業,100,2024-03-22,
143A0,イシン,株式,グロース,サービス業,100,2024-03-25,
144A0,エネルギーパワー,株式,TOKYO PRO Market,建設業,100,2024-03-13,
145A0,Ｌ　ｉｓ　Ｂ,株式,グロース,情報・通信業,100,2024-03-26,
146A0,コロンビア・ワークス,株式,スタンダード,不動産業,100,2024-03-27,
147A0,ソラコム,株式,グロース,情報・通信業,100,2024-03-26,
148A0,ハッチ・ワーク,株式,グロース,情報・通信業,100,2024-03-26,
149A0,シンカ,株式,グロース,情報・通信業,100,2024-03-27,
150A0,ＪＳＨ,株式,グロース,サービス業,100,2024-03-26,
151A0,ダイブグループ,株式,グロース,サービス業,100,2024-03-27,
152A0,オプティ,株式,TOKYO PRO Market,卸売業,100,2024-03-27,
153A0,カウリス,株式,グロース,情報・通信業,100,2024-03-28,
154A0,ＧＡＩＡ,株式,TOKYO PRO Market,その他金融業,100,2024-03-27,
155A0,情報戦略テクノロジー,株式,グロース,情報・通信業,100,2024-03-28,
156A0,マテリアルグループ,株式,グロース,サービス業,100,2024-03-29,
157A0,グリーンモンスター,株式,グロース,サービス業,100,2024-03-29,
